company,sector,year,role,language,wordcount,group,count_raw,count_norm
HeidelbergMaterials,Baustoffe,2023,ceo,de,670,KI/AI,0,0.0
HeidelbergMaterials,Baustoffe,2023,ceo,de,670,Daten/Data,0,0.0
HeidelbergMaterials,Baustoffe,2024,ceo,de,1013,KI/AI,0,0.0
HeidelbergMaterials,Baustoffe,2024,ceo,de,1013,Daten/Data,0,0.0
HeidelbergMaterials,Baustoffe,2024,ar,en,1530,KI/AI,0,0.0
HeidelbergMaterials,Baustoffe,2024,ar,en,1530,Daten/Data,0,0.0
HeidelbergMaterials,Baustoffe,2025,ceo,de,1628,KI/AI,1,0.6143
HeidelbergMaterials,Baustoffe,2025,ceo,de,1628,Daten/Data,4,2.457
HeidelbergMaterials,Baustoffe,2025,ar,en,1587,KI/AI,1,0.6301
HeidelbergMaterials,Baustoffe,2025,ar,en,1587,Daten/Data,0,0.0
Henkel,Konsumgüter & Chemie,2022,ceo,de,4355,KI/AI,0,0.0
Henkel,Konsumgüter & Chemie,2022,ceo,de,4355,Daten/Data,1,0.2296
Henkel,Konsumgüter & Chemie,2023,ceo,de,5505,KI/AI,0,0.0
Henkel,Konsumgüter & Chemie,2023,ceo,de,5505,Daten/Data,0,0.0
Henkel,Konsumgüter & Chemie,2024,ceo,de,4056,KI/AI,1,0.2465
Henkel,Konsumgüter & Chemie,2024,ceo,de,4056,Daten/Data,1,0.2465
Henkel,Konsumgüter & Chemie,2025,ceo,de,3951,KI/AI,5,1.2655
Henkel,Konsumgüter & Chemie,2025,ceo,de,3951,Daten/Data,0,0.0
Infineon,Halbleiter,2022,ceo,de,3556,KI/AI,0,0.0
Infineon,Halbleiter,2022,ceo,de,3556,Daten/Data,2,0.5624
Infineon,Halbleiter,2022,ar,de,425,KI/AI,0,0.0
Infineon,Halbleiter,2022,ar,de,425,Daten/Data,0,0.0
Infineon,Halbleiter,2023,ceo,de,3754,KI/AI,3,0.7991
Infineon,Halbleiter,2023,ceo,de,3754,Daten/Data,5,1.3319
Infineon,Halbleiter,2023,ar,de,934,KI/AI,0,0.0
Infineon,Halbleiter,2023,ar,de,934,Daten/Data,0,0.0
Infineon,Halbleiter,2024,ceo,de,4123,KI/AI,7,1.6978
Infineon,Halbleiter,2024,ceo,de,4123,Daten/Data,2,0.4851
Infineon,Halbleiter,2024,ar,de,530,KI/AI,0,0.0
Infineon,Halbleiter,2024,ar,de,530,Daten/Data,0,0.0
Infineon,Halbleiter,2025,ceo,de,3762,KI/AI,52,13.8224
Infineon,Halbleiter,2025,ceo,de,3762,Daten/Data,1,0.2658
Infineon,Halbleiter,2025,ar,de,575,KI/AI,0,0.0
Infineon,Halbleiter,2025,ar,de,575,Daten/Data,0,0.0
MTU,Luftfahrt,2022,ceo,de,2396,KI/AI,0,0.0
MTU,Luftfahrt,2022,ceo,de,2396,Daten/Data,0,0.0
MTU,Luftfahrt,2023,ceo,de,2631,KI/AI,0,0.0
MTU,Luftfahrt,2023,ceo,de,2631,Daten/Data,0,0.0
MTU,Luftfahrt,2023,ar,de,1669,KI/AI,0,0.0
MTU,Luftfahrt,2023,ar,de,1669,Daten/Data,0,0.0
MTU,Luftfahrt,2024,ceo,de,3786,KI/AI,0,0.0
MTU,Luftfahrt,2024,ceo,de,3786,Daten/Data,0,0.0
MTU,Luftfahrt,2024,ar,de,2460,KI/AI,0,0.0
MTU,Luftfahrt,2024,ar,de,2460,Daten/Data,0,0.0
MTU,Luftfahrt,2025,ceo,de,4890,KI/AI,0,0.0
MTU,Luftfahrt,2025,ceo,de,4890,Daten/Data,0,0.0
MTU,Luftfahrt,2025,ar,de,2077,KI/AI,0,0.0
MTU,Luftfahrt,2025,ar,de,2077,Daten/Data,0,0.0
Mercedes,Automobil,2022,ceo,de,15,KI/AI,0,0.0
Mercedes,Automobil,2022,ceo,de,15,Daten/Data,0,0.0
Mercedes,Automobil,2022,ar,de,7,KI/AI,0,0.0
Mercedes,Automobil,2022,ar,de,7,Daten/Data,0,0.0
Mercedes,Automobil,2023,ceo,de,11,KI/AI,0,0.0
Mercedes,Automobil,2023,ceo,de,11,Daten/Data,0,0.0
Mercedes,Automobil,2023,ar,de,8,KI/AI,0,0.0
Mercedes,Automobil,2023,ar,de,8,Daten/Data,0,0.0
Mercedes,Automobil,2024,ceo,de,31,KI/AI,0,0.0
Mercedes,Automobil,2024,ceo,de,31,Daten/Data,0,0.0
Mercedes,Automobil,2024,ar,de,2431,KI/AI,1,0.4114
Mercedes,Automobil,2024,ar,de,2431,Daten/Data,1,0.4114
Mercedes,Automobil,2025,ceo,de,24,KI/AI,0,0.0
Mercedes,Automobil,2025,ceo,de,24,Daten/Data,0,0.0
Mercedes,Automobil,2025,ar,de,17,KI/AI,0,0.0
